Person;Gender;Case
meine Mutter;1;N
eine Mutter;1;N
die Mutter;1;N
eine Schwester;1;N
meine Schwester;1;N
die Schwester;1;N
die Frau;1;N
eine Frau;1;N
meine Tochter;1;N
eine Tochter;1;N
die Tochter;1;N
das Mädchen;1;N
ein Mädchen;1;N
meine Tante;1;N
eine Tante;1;N
die Tante;1;N
meine Ehefrau;1;N
eine Ehefrau;1;N
die Ehefrau;1;N
meine Freundin;1;N
eine Freundin;1;N
die Freundin;1;N
sie;1;N
meine Mutter;1;A
eine Mutter;1;A
die Mutter;1;A
eine Schwester;1;A
meine Schwester;1;A
die Schwester;1;A
die Frau;1;A
eine Frau;1;A
meine Tochter;1;A
eine Tochter;1;A
die Tochter;1;A
das Mädchen;1;A
ein Mädchen;1;A
meine Tante;1;A
eine Tante;1;A
die Tante;1;A
meine Ehefrau;1;A
eine Ehefrau;1;A
die Ehefrau;1;A
meine Freundin;1;A
eine Freundin;1;A
die Freundin;1;A
sie;1;A
meiner Mutter;1;D
einer Mutter;1;D
der Mutter;1;D
einer Schwester;1;D
meiner Schwester;1;D
der Schwester;1;D
der Frau;1;D
einer Frau;1;D
meiner Tochter;1;D
einer Tochter;1;D
der Tochter;1;D
dem Mädchen;1;D
einem Mädchen;1;D
meiner Tante;1;D
einer Tante;1;D
der Tante;1;D
meiner Ehefrau;1;D
einer Ehefrau;1;D
der Ehefrau;1;D
meiner Freundin;1;D
einer Freundin;1;D
der Freundin;1;D
ihr;1;D
mein Vater;0;N
ein Vater;0;N
der Vater;0;N
mein Bruder;0;N
ein Bruder;0;N
der Bruder;0;N
der Mann;0;N
ein Mann;0;N
mein Sohn;0;N
ein Sohn;0;N
der Sohn;0;N
der Junge;0;N
ein Junge;0;N
mein Onkel;0;N
ein Onkel;0;N
der Onkel;0;N
mein Ehemann;0;N
ein Ehemann;0;N
der Ehemann;0;N
mein Freund;0;N
ein Freund;0;N
der Freund;0;N
er;0;N
meinen Vater;0;A
einen Vater;0;A
den Vater;0;A
meinen Bruder;0;A
einen Bruder;0;A
den Bruder;0;A
den Mann;0;A
einen Mann;0;A
meinen Sohn;0;A
einen Sohn;0;A
den Sohn;0;A
den Jungen;0;A
einen Jungen;0;A
meinen Onkel;0;A
einen Onkel;0;A
den Onkel;0;A
meinen Ehemann;0;A
einen Ehemann;0;A
den Ehemann;0;A
meinen Freund;0;A
einen Freund;0;A
den Freund;0;A
ihn;0;A
meinem Vater;0;D
einem Vater;0;D
dem Vater;0;D
meinem Bruder;0;D
einem Bruder;0;D
dem Bruder;0;D
dem Mann;0;D
einem Mann;0;D
meinem Sohn;0;D
einem Sohn;0;D
dem Sohn;0;D
dem Jungen;0;D
einem Jungen;0;D
meinem Onkel;0;D
einem Onkel;0;D
dem Onkel;0;D
meinem Ehemann;0;D
einem Ehemann;0;D
dem Ehemann;0;D
meinem Freund;0;D
einem Freund;0;D
dem Freund;0;D
ihm;0;D
